1fc0068c:   36 52 d7 e0         ORI $s2, $s2, 0xd7e0
1fc00690:   16 12 07 64         BNE $s2, 0x0764
1fc00694:   00 00 00 00         NOP
1fc00698:   3c 08 c2 11         LUI $t0, 0xc211
1fc0069c:   35 08 35 e4         ORI $t0, $t0, 0x35e4
1fc006a0:   24 09 2e c1         ADDIU $t1, $zero, 0x2ec1
1fc006a4:   21 10 2e c1         ADDI $s0, $t0, 0x2ec1
1fc006a8:   3c 12 c2 11         LUI $s2, 0xc211
1fc006ac:   36 52 64 a5         ORI $s2, $s2, 0x64a5
1fc006b0:   16 12 07 5c         BNE $s2, 0x075c
1fc006b4:   00 00 00 00         NOP
1fc006b8:   3c 08 d7 ad         LUI $t0, 0xd7ad
1fc006bc:   35 08 a5 28         ORI $t0, $t0, 0xa528
1fc006c0:   34 09 c2 dd         ORI $t1, $zero, 0xc2dd
1fc006c4:   21 10 c2 dd         ADDI $s0, $t0, 0xc2dd
1fc006c8:   3c 12 d7 ad         LUI $s2, 0xd7ad
1fc006cc:   36 52 68 05         ORI $s2, $s2, 0x6805
1fc006d0:   16 12 07 54         BNE $s2, 0x0754
1fc006d4:   00 00 00 00         NOP
1fc006d8:   3c 08 74 29         LUI $t0, 0x7429
1fc006dc:   35 08 9f 8a         ORI $t0, $t0, 0x9f8a
1fc006e0:   24 09 4c 1d         ADDIU $t1, $zero, 0x4c1d
1fc006e4:   21 10 4c 1d         ADDI $s0, $t0, 0x4c1d
1fc006e8:   3c 12 74 29         LUI $s2, 0x7429
1fc006ec:   36 52 eb a7         ORI $s2, $s2, 0xeba7
